IHC,cooling,heating
300,34.44,20.49
315,34.42,20.44
330,34.41,20.41
345,34.33,20.24
360,34.33,20.24
375,34.35,20.25
390,34.36,20.3
405,34.36,20.29
420,34.37,20.28
435,34.36,20.29
450,34.32,20.2
465,34.35,20.25
480,34.34,20.24
495,34.33,20.22
510,34.34,20.21
525,34.3,20.12
540,34.37,20.27
555,34.32,20.18
570,34.3,20.11
585,34.29,20.07
600,34.31,20.13
615,34.27,20.03
630,34.28,20.04
645,34.29,20.07
660,34.33,20.15
675,34.27,20.01
690,34.28,20.03
705,34.24,19.95
720,34.27,19.99
735,34.29,20.03
750,34.28,20.02
765,34.26,19.97
780,34.29,20.02
795,34.28,20.03
810,34.28,20.04
825,34.25,19.99
840,34.26,20
855,34.22,19.91
870,34.2,19.86
885,34.23,19.9
900,34.24,19.95
915,34.23,19.89
930,34.19,19.82
945,34.21,19.84
960,34.19,19.77
975,34.21,19.86
990,34.16,19.75
1005,34.2,19.82
1020,34.13,19.68
1035,34.16,19.75
1050,34.11,19.66
1065,34.16,19.83
1080,34.13,19.72
1095,34.15,19.78
1110,34.12,19.71
1125,34.1,19.67
1140,34.11,19.7
1155,34.1,19.65
1170,34.09,19.65
1185,34.13,19.75
1200,34.05,19.57
1215,34.11,19.67
1230,34.06,19.59
1245,34.08,19.63
1260,34.05,19.58
1275,34.08,19.63
1290,34.05,19.54
1305,34.04,19.54
1320,34.05,19.54
1335,34.07,19.61
1350,34.02,19.52
1365,34,19.46
1380,34.02,19.53
1395,34.04,19.54
1410,34.05,19.54
1425,33.96,19.38
1440,34.03,19.54
1455,34.01,19.48
1470,33.99,19.43
1485,34.04,19.54
1500,33.96,19.37
1515,33.95,19.37
1530,33.98,19.41
1545,33.96,19.37
1560,33.94,19.33
1575,33.95,19.35
1590,33.95,19.37
1605,33.99,19.41
1620,33.93,19.27
1635,33.91,19.26
1650,33.89,19.2
1665,33.93,19.3
1680,33.95,19.34
1695,33.91,19.26
1710,33.92,19.28
1725,33.88,19.2
1740,33.91,19.31
1755,33.91,19.28
1770,33.9,19.25
1785,33.85,19.19
1800,33.84,19.15
1815,33.86,19.18
1830,33.81,19.11
1845,33.88,19.24
1860,33.82,19.11
1875,33.78,19.03
1890,33.8,19.09
1905,33.83,19.09
1920,33.77,19
1935,33.79,19.01
1950,33.79,19.04
1965,33.47,19.04
1980,33.53,19.13
1995,33.48,19.02
2010,33.49,19.04
2025,33.51,19.08
2040,33.48,19.01
2055,33.5,19.03
2070,33.49,19.05
2085,33.43,18.88
